Month,Airline,Service_Country,Flights_In,Passengers_In,Seats_In,Flights_Out,Passengers_Out,Seats_Out,Year,Month_num
Feb-91,Union de Transports Aeriens,Tahiti,4,13,520,4,16,520,1991,2
Feb-91,United Airlines,USA,56,15385,22456,57,15533,22834,1991,2
Feb-91,Yugoslav Airlines,Yugoslavia,8,1488,2216,8,1325,2216,1991,2
Mar-91,Aerolineas Argentinas,Argentina,5,1071,1500,6,1025,1800,1991,3
Mar-91,Air Caledonie,New Caledonia,17,1100,2142,17,1111,2142,1991,3
Mar-91,Air China,China,5,1009,1325,5,974,1325,1991,3
Mar-91,Nauru Airlines,Nauru,9,227,885,9,202,885,1991,3
Mar-91,Air New Zealand,New Zealand,238,36286,59627,236,34456,58548,1991,3
Mar-91,Air Niugini,Papua New Guinea,49,2586,5206,48,2558,4997,1991,3
Mar-91,Fiji Airways,Fiji,40,5156,9975,40,5970,9975,1991,3
Mar-91,Air Vanuatu,Vanuatu,19,1947,2755,19,2070,2755,1991,3
Mar-91,Alitalia,Italy,13,1399,3897,13,2317,3897,1991,3
Mar-91,All Nippon Airways,Japan,21,3823,7462,21,3797,7406,1991,3
Mar-91,American Airlines,USA,18,1657,4086,18,2264,4086,1991,3
Mar-91,British Airways,New Zealand,14,1460,3860,13,1080,3474,1991,3
Mar-91,British Airways,UK,58,11745,22388,58,12491,22388,1991,3
Mar-91,Canadian Airlines International,Canada,14,1866,3150,14,2435,3150,1991,3
Mar-91,Cathay Pacific Airways,Hong Kong,55,15224,22598,56,15020,22598,1991,3
Mar-91,Continental Airlines,Guam,18,3699,5112,18,3795,5112,1991,3
Mar-91,Continental Airlines,New Zealand,11,2515,4326,11,2115,4326,1991,3
Mar-91,Continental Airlines,USA,70,15409,25582,70,18417,25582,1991,3
Mar-91,Federal Express Corporation,USA,10,0,0,0,0,0,1991,3
Mar-91,Garuda Indonesia,Indonesia,60,7262,15723,60,8571,15723,1991,3
Mar-91,Hawaiian Airlines,American Samoa,5,495,925,5,720,925,1991,3
Mar-91,Japan Airlines,Japan,50,10975,19798,49,12650,19556,1991,3
Mar-91,KLM Royal Dutch Airlines,Netherlands,5,965,2140,5,1387,2140,1991,3
Mar-91,Korean Air,Korea,4,722,1580,4,723,1580,1991,3
Mar-91,Lauda Air,Austria,9,541,1487,9,765,1487,1991,3
Mar-91,Lufthansa German Airlines,Germany,26,2194,5976,26,2569,5976,1991,3
Mar-91,Malaysia Airlines,Malaysia,45,9478,13539,45,11999,13484,1991,3
Mar-91,Malaysia Airlines,New Zealand,9,513,1132,9,365,1415,1991,3
Mar-91,Merpati Nusantara Airlines,Indonesia,9,280,720,9,571,720,1991,3
Mar-91,Olympic Airways,Greece,9,1357,3987,9,2740,3987,1991,3
Mar-91,Philippine Airlines,Philippines,22,3902,6010,22,4517,6010,1991,3
Mar-91,Polynesian Airlines,Western Samoa,9,526,1332,8,682,1184,1991,3
Mar-91,Qantas Airways,Argentina,0,101,250,0,87,250,1991,3
Mar-91,Qantas Airways,Fiji,0,2199,2876,0,2567,3202,1991,3
Mar-91,Qantas Airways,Hong Kong,62,12743,17983,63,11688,18211,1991,3
Mar-91,Qantas Airways,Indonesia,34,6250,10172,34,7430,10172,1991,3
Mar-91,Qantas Airways,Italy,10,1032,3130,9,1314,2817,1991,3
Mar-91,Qantas Airways,Japan,111,16740,31398,114,20334,31878,1991,3
Mar-91,Qantas Airways,Malaysia,14,1308,3069,14,1092,3069,1991,3
Mar-91,Qantas Airways,New Caledonia,10,603,1963,10,732,1963,1991,3
Mar-91,Qantas Airways,New Zealand,200,29144,43758,198,28574,43345,1991,3
Mar-91,Qantas Airways,Papua New Guinea,28,2226,4388,29,2117,4447,1991,3
Mar-91,Qantas Airways,Philippines,9,1508,2052,9,1287,2052,1991,3
Mar-91,Qantas Airways,Singapore,96,13007,26134,96,14250,26134,1991,3
Mar-91,Qantas Airways,Solomon Islands,5,167,530,5,284,530,1991,3
Mar-91,Qantas Airways,Thailand,31,3329,6623,31,4132,6623,1991,3
Mar-91,Qantas Airways,UK,62,12209,23344,62,14003,23328,1991,3
Mar-91,Qantas Airways,USA,101,19362,33902,97,22266,33237,1991,3
Mar-91,Qantas Airways,Zimbabwe,8,1586,3088,8,1539,3088,1991,3
Mar-91,Royal Brunei Airlines,Brunei,13,723,1924,13,770,1924,1991,3
Mar-91,Singapore Airlines,Singapore,82,24248,30620,83,25368,31056,1991,3
Mar-91,Solomon Airlines,Solomon Islands,0,390,0,0,413,0,1991,3
Mar-91,Thai Airways International,Thailand,42,4710,13253,41,6227,13006,1991,3
Mar-91,Union de Transports Aeriens,France,8,632,2712,9,1248,3128,1991,3
Mar-91,Union de Transports Aeriens,New Caledonia,9,491,2080,8,701,1664,1991,3
Mar-91,Union de Transports Aeriens,Tahiti,5,22,630,5,12,630,1991,3
Mar-91,United Airlines,USA,62,15777,24862,61,18245,24438,1991,3
Mar-91,Yugoslav Airlines,Yugoslavia,9,1132,2493,9,1687,2493,1991,3
Apr-91,Aerolineas Argentinas,Argentina,5,862,1500,4,750,1200,1991,4
Apr-91,Air Caledonie,New Caledonia,17,972,2007,18,915,2133,1991,4
Apr-91,Air China,China,4,680,1080,4,870,1080,1991,4
Apr-91,Nauru Airlines,Nauru,9,250,879,9,259,879,1991,4
Apr-91,Air New Zealand,New Zealand,215,29022,45642,221,29679,46767,1991,4
Apr-91,Air New Zealand,USA,0,447,1457,0,840,1457,1991,4
Apr-91,Air Niugini,Papua New Guinea,48,2840,5562,48,3033,5562,1991,4
Apr-91,Fiji Airways,Fiji,40,4257,9190,39,3176,8826,1991,4
Apr-91,Air Vanuatu,Vanuatu,16,1446,2320,16,1414,2320,1991,4
Apr-91,Alitalia,Italy,12,1006,3464,12,1667,3464,1991,4
Apr-91,All Nippon Airways,Japan,21,4921,8222,22,4495,8596,1991,4
Apr-91,American Airlines,USA,16,1787,3632,16,1428,3632,1991,4
Apr-91,British Airways,New Zealand,12,1433,3088,12,1105,3088,1991,4
Apr-91,British Airways,UK,56,13139,21616,56,12905,21616,1991,4
Apr-91,Canadian Airlines International,Canada,3,2138,3501,3,2708,3573,1991,4
Apr-91,Cathay Pacific Airways,Hong Kong,52,12560,20508,52,14293,20508,1991,4
Apr-91,Continental Airlines,Guam,12,1630,3408,12,1834,3408,1991,4
Apr-91,Continental Airlines,New Zealand,13,3228,5256,13,2184,5256,1991,4
Apr-91,Continental Airlines,USA,69,16497,26688,69,20066,26670,1991,4
Apr-91,Federal Express Corporation,USA,11,0,0,0,0,0,1991,4
Apr-91,Garuda Indonesia,Indonesia,52,8869,13223,52,8604,13223,1991,4
Apr-91,Gulf Air,Bahrain,8,201,1696,8,547,1696,1991,4
Apr-91,Hawaiian Airlines,American Samoa,2,156,535,2,184,535,1991,4
Apr-91,Japan Airlines,Japan,48,12734,20004,48,11574,20004,1991,4
Apr-91,KLM Royal Dutch Airlines,Netherlands,4,493,1548,4,1357,1548,1991,4
Apr-91,Korean Air,Korea,4,969,1471,4,809,1471,1991,4
Apr-91,Lauda Air,Austria,8,569,1384,8,1154,1384,1991,4
Apr-91,Lufthansa German Airlines,Germany,26,2594,5704,26,3876,5704,1991,4
Apr-91,Malaysia Airlines,Malaysia,42,9051,12630,41,11239,12239,1991,4
Apr-91,Malaysia Airlines,New Zealand,8,448,1132,8,340,1132,1991,4
Apr-91,Merpati Nusantara Airlines,Indonesia,8,436,640,8,637,640,1991,4
Apr-91,Olympic Airways,Greece,8,718,3544,8,2965,3544,1991,4
